id,timestamp,tweet_text,username,location,coordinates,place_json,all_hashtags,followers_count
1369971373276332036,2021-03-11 11:20:02,"b'Two major trends that have the power to form new ventures, ideas and platforms! Ownership supercharges community - great post by @IanVanagas #communitypower #ownership #NFTs #Crypto https://t.co/pZ9VVlxgun https://t.co/02cZgNKcOD'",b'tchopit',"Berlin, Deutschland",,,"['communitypower', 'ownership', 'NFTs', 'Crypto']",1731
1369972936610832387,2021-03-11 11:26:15,"b""An upstanding young member of our community who is always making a positive contribution. Let's make this happen for Gus! #cfna #kwawesome #communitypower  https://t.co/ZQ0F3Ag0IB""",b'secamptweet',"Kitchener, Ontario",,,"['cfna', 'kwawesome', 'communitypower']",71
1369985617967321092,2021-03-11 12:16:39,"b'Like that.  #communitypower must have clear  priorities. We need to weaken bad power things and support   beautiful weak things. Priority for #communitypower is omnipotent bad power of the fossil fuel, wealth extracting market. Weaker things (like #localgov) are our allies. https://t.co/X8sDq2PBr4'",b'nmcinroy',here and there,,"Place(_api=<tweepy.api.API object at 0x7effeb68d9a0>, id='1a3fd0b34e5cc504', url='https://api.twitter.com/1.1/geo/id/1a3fd0b34e5cc504.json', place_type='city', name='Urmston', full_name='Urmston, England', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7effeb68d9a0>, type='Polygon', coordinates=[[[-2.4094209, 53.4316145], [-2.25304, 53.4316145], [-2.25304, 53.480382], [-2.4094209, 53.480382]]]), attributes={})","['communitypower', 'communitypower', 'localgov']",10912
1369990463281844225,2021-03-11 12:35:54,b'Lovely couple of hours chatting all things #communitypower &amp; #neighbourhoodpower with friends at @GMMutualAid   Sharing stories about the systemic issues that keep citizens out.  Daft planning rules etc  Looking forward to some shared story telling &amp; collective action \xe2\x9c\x8a',b'angelafell',,,,"['communitypower', 'neighbourhoodpower']",971
1369990921211744257,2021-03-11 12:37:43,"b'Do you know how to establish and grow #CommunityEnergy in your region? \xf0\x9f\xa4\x94  This white paper, a result of the Co2mmunity project, contains policy recommendations for national-level policymakers in the Baltic Sea Region: https://t.co/njbgWDJg6S   #MadewithInterreg #BalticSeaRegion'",b'co2mmunity',Baltic Sea Region,,,"['CommunityEnergy', 'MadewithInterreg', 'BalticSeaRegion']",198
1369995868636602370,2021-03-11 12:57:23,"b""1\xe2\x83\xa3 session of #StrongerThings left - but you could say it's the most exciting. Join our team to learn about the latest ideas, evidence &amp; impact behind #communitypower, ft  \xf0\x9f\x8e\x88Deputy CEO @jesstud \xf0\x9f\x8e\x88Ostrom expert @stkaye \xf0\x9f\x8e\x88Evidence researcher @Grace_Pollard1  https://t.co/PbyeBByQQQ""",b'wearenewlocal',London,,,"['StrongerThings', 'communitypower']",15849
1369997830669094915,2021-03-11 13:05:10,"b""In 2020 our not-for-profit #SocialEnterprise completed 5 #CommunityEnergy projects which will reduce CO2 emissions by 2,500 tonnes over their lifetime.   That's equivalent to the emissions from 2762 TransAtlantic flights!  Our 2020 Impact Report:  https://t.co/otFqebSUrV #SocEnt https://t.co/4pxYnakaO5""",b'BHenergyservice',Brighton,,,"['SocialEnterprise', 'CommunityEnergy', 'SocEnt']",2328
1369998603503218688,2021-03-11 13:08:15,"b'The final session of @WeAreNewLocal #StrongerThings has just started - Community power: the idea, the reality and the impact.  https://t.co/Yo5htR6cKY  #CommunityPower #Community #BeMoreGuerrilla'",b'CheekyGuerrilla',,,,"['StrongerThings', 'CommunityPower', 'Community', 'BeMoreGuerrilla']",28
1370015550043283457,2021-03-11 14:15:35,b'Fascinating history of the introduction of electricity in Ethiopia by Prof Getachew Bekele - 1st generator 1898! #communityenergy https://t.co/pleIHEWmTf',b'CesetProject',"Mozambique, Malawi, Ethiopia",,,['communityenergy'],157
1370017065512407042,2021-03-11 14:21:36,"b'An important article by @samanthamelamed. We MUST support young men of color to feel safe and be able to live full lives by addressing violence, poverty and empowering communities with resources to make a change! #cbcommunityschools #communitypower #philly https://t.co/IHxu3yWmrc'",b'community_cb',"Philadelphia, PA",,,"['cbcommunityschools', 'communitypower', 'philly']",145
1370021405866135566,2021-03-11 14:38:51,"b'Ethiopia has made significant progress in its national electrification programme over the last few years, however there\xe2\x80\x99s more work needed esp. access for secondary schools/health centres - RELA webinar #communityenergy https://t.co/Tw3NZwOT8V'",b'CesetProject',"Mozambique, Malawi, Ethiopia",,,['communityenergy'],157
1370023454418690060,2021-03-11 14:46:59,b'Inspiring stories from Kyles Community Broadband and Joe Fernand using #communitypower to get digital inclusion for rural areas - repair schemes to save tech from landfill and aggregating community demand for connectivity #vSRP2021',b'Gina_Plunkett',,,,"['communitypower', 'vSRP2021']",66
1370032952046944256,2021-03-11 15:24:44,b'\xf0\x9f\x92\xa1In January the @FLEXCoop_H2020 project came to a close.   \xf0\x9f\x93\xbd\xef\xb8\x8fTake 2\xe2\x83\xa3 minutes and look back with us at this fruitful collaboration: https://t.co/nC3reUJMEm   #EnergyFlexibilityServices #DemandResponse #EnergyCooperatives #CommunityEnergy #BalancingtheGrid https://t.co/nOUl1fEgPL',b'REScoopEU',Europe,,,"['EnergyFlexibilityServices', 'DemandResponse', 'EnergyCooperatives', 'CommunityEnergy', 'BalancingtheGrid']",6014
1370033748192952325,2021-03-11 15:27:54,"b'Last night, I was able to join the #Ville Collaborative for a portion of their meeting. It should be noted they acknowledged the Sumner High win (\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd) &amp; then got right down to work on how to plan an Welcome Back to School Event for students. #communitypower https://t.co/1wsGQdXvGq'",b'floresstl',St. Louis,,,"['Ville', 'communitypower']",579
1370057957753417732,2021-03-11 17:04:06,"b""@ComMattersYorks @CambridgeCVS @CVSBeds @CvsW3rt @JoBoardman @BobJones_Herts Fantastic result! Go Team @ComMattersYorks \xe2\x9c\x8a\xf0\x9f\x9a\xa9 All 25 #SocInv orgs we're certain are super looking forward to (virtually) meeting so many interested dynamic #SocEnts who've signed up to drive their #ComBiz forward &amp; are keen to learn about the help on offer \xf0\x9f\x98\x84 #communitypower""",b'KeyFund',North and Midlands of England,,,"['SocInv', 'SocEnts', 'ComBiz', 'communitypower']",6071
1370066045067743233,2021-03-11 17:36:14,b'Busy at @RdgHydro today @LandandWaterCo @EnvAgency @CanalRiverTrust #riverthames #cavershamweir #caversham #hydropower #localenergy #Sustainability https://t.co/rl8HIRmVHg',b'stouty26',United Kingdom,,"Place(_api=<tweepy.api.API object at 0x7effeb8c7310>, id='5028e25dc94f3898', url='https://api.twitter.com/1.1/geo/id/5028e25dc94f3898.json', place_type='city', name='Reading', full_name='Reading, England', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7effeb8c7310>, type='Polygon', coordinates=[[[-1.065041, 51.4123385], [-0.8990196, 51.4123385], [-0.8990196, 51.4927093], [-1.065041, 51.4927093]]]), attributes={})","['riverthames', 'cavershamweir', 'caversham', 'hydropower', 'localenergy', 'Sustainability']",65
1370076792023834637,2021-03-11 18:18:56,"b'More food spam! Well done to our RCS parents and Ms. Dunne for another great \xe2\x80\x9cCookalong\xe2\x80\x9d this morning. Cottage Pie looks delicious!!! Sharon McDermott, HSCL #homecooking #TogetherWeCanDoIt #community #communityenergy https://t.co/6blFUboUn6'",b'Ramsgrange_CS',"Ramsgrange, New Ross",,,"['homecooking', 'TogetherWeCanDoIt', 'community', 'communityenergy']",1289
1370113059734360064,2021-03-11 20:43:03,b'Part time jobs as Community Engagement Officer available with Energy Garden for 18-24 YO. Available for different London Boroughs.. Link below \xf0\x9f\x91\x87\xf0\x9f\x8f\xbe \xf0\x9f\x91\x87\xf0\x9f\x8f\xbe #jobs #communityenergy #communityGarden #london #youthtraining https://t.co/4WvHo4ptnw',b'voicesofhackney',"London, England",,,"['jobs', 'communityenergy', 'communityGarden', 'london', 'youthtraining']",48
1370129392962310151,2021-03-11 21:47:57,b'Watch astonjimm with me on Twitch! #twitch #twitchstreamer #gaming #dayz #zombies #ContentCreator #communitypower #gamers #Random https://t.co/2AjAGOj4T7',b'AstonJimm',"Birmingham, England",,,"['twitch', 'twitchstreamer', 'gaming', 'dayz', 'zombies', 'ContentCreator', 'communitypower', 'gamers', 'Random']",38
1370133378092175360,2021-03-11 22:03:47,"b""@IsidoraKatanic @cfullerMVP We're nothing without the strong women like yourself, powering that great community! #communitypower""",b'maarten_goet',The Netherlands,,,['communitypower'],6393
1370141964851576835,2021-03-11 22:37:55,"b""Australia's first community-owned solar farm is generating power!  This could be the first of many if we can https://t.co/SozwKhVzeB #communityenergy https://t.co/H64o38YpXZ""",b'CommunityPowerA',Australia,,,['communityenergy'],1281
1370154516901945350,2021-03-11 23:27:47,"b'Only a few hours left to donate to our 5K in 5 days fundraiser!  Can you pitch in $10, $20, or $50 to our #CommunityPower campaign? Your donation will be matched 9 TIMES by the city! https://t.co/iaJlEqGZIm'",b'JacquiPainter',"Brooklyn, NY",,,['CommunityPower'],429
1370202085086564356,2021-03-12 02:36:48,"b'Join the #EnergyDemocracyAU #CentralWestNSW #Cooperative and invest in #CommunityOwned #CommunityEnergy.  Locally owned, locally generated,  clean energy benefiting the local community. Download a disclosure and join here: https://t.co/0iHe6FqkWQ'",b'ed_co_op',,,,"['EnergyDemocracyAU', 'CentralWestNSW', 'Cooperative', 'CommunityOwned', 'CommunityEnergy']",459
1370255171855482883,2021-03-12 06:07:45,b'Energy People in Europe say :-  \xe2\x80\x9cA successful energy transition can only happen when including the local level\xe2\x80\x9d  #LocalEnergy = #RoofTopSolar = #StokvelMicroGrid         = good-paying local jobs for everyone   https://t.co/FhqjDUJSHd https://t.co/eCzUnUfdNg',b'SANS10400',Africa,,,"['LocalEnergy', 'RoofTopSolar', 'StokvelMicroGrid']",2345
1370318820276068357,2021-03-12 10:20:40,"b'\xe2\x80\x9cOur investment into this part of the market brings together several crucial strands of our work: decarbonisation, supporting community resilience and generating valuable social outcomes\xe2\x80\x9d says Ben Rick, from @SASCapital. #CommunityEnergy #RenewableEnergy https://t.co/iNtV2LFqwh'",b'PioneersPost',UK,,,"['CommunityEnergy', 'RenewableEnergy']",21598
1370344126076583941,2021-03-12 12:01:14,b'#CommunityEnergy a very productive dialog 2day in the company of a wide range of practitioners with such insight. Our new NI Energy Strategy needs to provide for the growth of local community led #energy &amp; #energyefficiency initiatives. @DianeDoddsMLA @Economy_NI @conormurphysf https://t.co/ogwVc1h35f',b'JohnSocEnt',"Belfast, Northern Ireland",,,"['CommunityEnergy', 'energy', 'energyefficiency']",5040
1370356415441829893,2021-03-12 12:50:04,"b'DEADLINE 15 MARCH: New peer support scheme available for up to 40 innovative #communityenergy projects across England! A great opportunity to get expert mentoring for your energy project \xf0\x9f\x91\x89 https://t.co/uBHC7Rhfmm  Working with @cse_bristol, funded by @peoplesbiz https://t.co/gUush0jT0f'",b'CooperativesUK',Manchester,,,['communityenergy'],19880
1370359320504905734,2021-03-12 13:01:36,"b'@treaclelife @wearenewlocal @Systemanarchist @MichaelMarmot Glad it resonates! It\xe2\x80\x99s from our report on the evidence for #communitypower, here: https://t.co/Ljnr1oocSq'",b'jesstud',"Cambridge, England",,,['communitypower'],4323
